output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap
code__a__1176 1.5 -0.75 -0.5 1.375
code__a__1177 1.5 -0.75 0 1.375
code__a__1178 1.5 -0.75 0.5 1.375
code__a__1179 1.5 -0.75 1 1.375
code__a__1180 1.5 -0.5 -1 1.375
code__a__1181 1.5 -0.5 -0.5 1.375
code__a__1182 1.5 -0.5 0 1.375
code__a__1183 1.5 -0.5 0.5 1.375
code__a__1184 1.5 -0.5 1 1.375
code__a__1185 1.5 -0.25 -1 1.375
code__a__1186 1.5 -0.25 -0.5 1.375
code__a__1187 1.5 -0.25 0 1.375
code__a__1188 1.5 -0.25 0.5 1.375
code__a__1189 1.5 -0.25 1 1.375
code__a__1190 1.5 0 -1 1.375
code__a__1191 1.5 0 -0.5 1.375
code__a__1192 1.5 0 0 1.375
code__a__1193 1.5 0 0.5 1.375
code__a__1194 1.5 0 1 1.375
code__a__1195 1.5 0.25 -1 1.375
code__a__1196 1.5 0.25 -0.5 1.375
code__a__1197 1.5 0.25 0 1.375
code__a__1198 1.5 0.25 0.5 1.375
code__a__1199 1.5 0.25 1 1.375
code__a__1200 1.5 0.5 -1 1.375
code__a__1201 1.5 0.5 -0.5 1.375
code__a__1202 1.5 0.5 0 1.375
code__a__1203 1.5 0.5 0.5 1.375
code__a__1204 1.5 0.5 1 1.375
code__a__1205 1.5 0.75 -1 1.375
code__a__1206 1.5 0.75 -0.5 1.375
code__a__1207 1.5 0.75 0 1.375
code__a__1208 1.5 0.75 0.5 1.375
code__a__1209 1.5 0.75 1 1.375
code__a__1210 1.5 1 -1 1.375
code__a__1211 1.5 1 -0.5 1.375
code__a__1212 1.5 1 0 1.375
code__a__1213 1.5 1 0.5 1.375
code__a__1214 1.5 1 1 1.375
